ID;date;cost;CTR;Click;View;Join;Lead;Sale;Conversion for lead;Conversion for sale;Revenue;Cost per lead
11626893;01.03.2019;179,62;5,428;69;1271;26;1;0;1,45%;0%;0;179,62
11626893;02.03.2019;123,43;5,907;42;711;18;5;1;11,90%;20%;1500;24,69
11626893;03.03.2019;125,47;9,137;54;591;24;3;1;5,56%;33%;1500;41,82
11626893;04.03.2019;49,69;9,09;30;330;8;3;1;10,00%;33%;1500;16,56
11626893;05.03.2019;64,99;7,371;23;312;10;3;0;13,04%;0%;0;21,66
11626893;06.03.2019;23,11;0;0;10;0;6;1;0,00%;17%;1500;3,85
11626893;14.03.2019;1,33;7,142;1;14;0;0;1;0,00%;0%;1500;0
11686227;06.03.2019;55,74;1,892;20;1057;2;0;0;0,00%;0%;0;0
11686227;07.03.2019;104,45;2,065;19;920;3;1;0;5,26%;0%;0;104,45
11686227;08.03.2019;35,39;2,395;12;501;4;2;0;16,67%;0%;0;17,7
11686227;09.03.2019;33,62;0,737;3;407;1;1;1;33,33%;100%;1500;33,62
11686227;10.03.2019;9,34;1,215;4;329;1;0;1;0,00%;0%;1500;0
11686227;11.03.2019;11,11;1,492;2;134;0;0;1;0,00%;0%;1500;0
11686227;12.03.2019;14,35;1,265;1;79;0;0;2;0,00%;0%;3000;0
11686227;13.03.2019;0;0;0;49;0;0;0;0,00%;0%;0;0
11686227;14.03.2019;4,65;0;0;19;0;5;1;0,00%;20%;1500;0,93
11759085;14.03.2019;124;4,024;66;1640;9;5;1;7,58%;20%;1500;24,8
11759085;15.03.2019;54,48;2,619;17;649;2;4;1;23,53%;25%;1500;13,62
11759085;16.03.2019;56,28;2,788;15;538;2;2;0;13,33%;0%;0;28,14
11759085;17.03.2019;145,08;5,619;63;1121;4;5;1;7,94%;20%;1500;29,02
11759085;18.03.2019;88,73;5,586;30;537;3;1;0;3,33%;0%;0;88,73
11759085;19.03.2019;65,75;7,508;22;293;3;0;0;0,00%;0%;0;0
11759085;21.03.2019;1,64;4,255;2;47;0;0;0;0,00%;0%;0;0
11759085;22.03.2019;1,14;5,405;2;37;0;0;1;0,00%;0%;1500;0
11759085;23.03.2019;1,93;1,709;4;234;0;0;2;0,00%;0%;3000;0
11759085;24.03.2019;131,29;3,756;50;1331;2;4;1;8,00%;25%;1500;32,82
11759085;25.03.2019;120,37;5,889;50;849;8;2;0;4,00%;0%;0;60,19
11759085;26.03.2019;126,85;8,931;56;627;7;5;1;8,93%;20%;1500;25,37
11759085;27.03.2019;120,81;6,127;47;767;1;3;1;6,38%;33%;1500;40,27
11759085;28.03.2019;185,71;7,448;61;819;2;4;1;6,56%;25%;1500;46,43
11759085;29.03.2019;118,78;6,749;38;563;2;7;2;18,42%;29%;3000;16,97
11759085;30.03.2019;68,25;5,315;16;301;0;1;0;6,25%;0%;0;68,25
11759085;31.03.2019;141,25;7,424;49;660;5;3;1;6,12%;33%;1500;47,08
11759085;01.04.2019;352,2;5,278;111;2103;8;2;0;1,80%;0%;0;176,1
11759085;02.04.2019;26,9;5,063;4;79;0;3;1;75,00%;33%;1500;8,97
11759085;03.04.2019;36,05;7,92;8;101;1;3;1;37,50%;33%;1500;12,02
11759085;04.04.2019;79,25;3,937;30;762;1;0;0;0,00%;0%;0;0
11759085;05.04.2019;0;0;0;1;0;0;0;0,00%;0%;0;0
11759085;15.04.2019;4,2;0;0;10;0;3;1;0,00%;33%;1500;1,4
11967077;07.04.2019;99,85;6,378;68;1066;5;5;1;7,35%;20%;1500;19,97
11967077;08.04.2019;84,35;5,959;50;839;8;5;1;10,00%;20%;1500;16,87
11967077;09.04.2019;102,7;7,614;60;788;11;4;1;6,67%;25%;1500;25,68
11967077;10.04.2019;33,9;2,521;3;119;0;0;1;0,00%;0%;1500;0
11967077;11.04.2019;104,55;5,702;28;491;1;0;0;0,00%;0%;0;0
11967077;13.04.2019;38,04;6,989;13;186;0;5;1;38,46%;20%;1500;7,61
11967077;14.04.2019;41,86;4,575;7;153;0;0;0;0,00%;0%;0;0
11967077;15.04.2019;0,9;0;0;0;0;8;2;0,00%;25%;3000;0,11
11967077;16.04.2019;132,85;7,89;49;621;4;2;0;4,08%;0%;0;66,43
11967077;17.04.2019;18,57;6,711;10;149;0;4;1;40,00%;25%;1500;4,64
11967077;18.04.2019;46,5;7,812;10;128;1;3;0;30,00%;0%;0;15,5
11967077;19.04.2019;0;0;0;1;0;0;0;0,00%;0%;0;0
12065468;18.04.2019;102,85;3,122;35;1121;0;4;1;11,43%;25%;1500;25,71
12065468;19.04.2019;157,52;3,391;47;1386;3;1;0;2,13%;0%;0;157,52
12065468;20.04.2019;85,92;3,305;28;847;0;5;1;17,86%;20%;1500;17,18
12065468;21.04.2019;75,6;3,455;17;492;1;3;1;17,65%;33%;1500;25,2
12065468;22.04.2019;0;0;0;3;0;0;0;0,00%;0%;0;0
12065468;23.04.2019;91,04;5,835;29;497;3;3;0;10,34%;0%;0;30,35
12065468;24.04.2019;92,8;4,016;20;498;2;3;1;15,00%;33%;1500;30,93
12065468;25.04.2019;129,5;5,07;25;493;3;6;1;24,00%;17%;1500;21,58
12065468;26.04.2019;0,2;1,428;1;70;0;0;2;0,00%;0%;3000;0
12065468;27.04.2019;36,6;6,756;10;148;0;2;0;20,00%;0%;0;18,3
12065468;28.04.2019;42,96;4,545;15;330;1;4;1;26,67%;25%;1500;10,74
12065468;29.04.2019;10,72;0;0;9;0;3;1;0,00%;33%;1500;3,57
12162387;30.04.2019;182,34;5,066;65;1283;3;6;1;9,23%;17%;1500;30,39
12162387;01.05.2019;116,57;5,013;56;1117;2;2;0;3,57%;0%;0;58,29
12162387;02.05.2019;127,28;5,032;46;914;5;3;1;6,52%;33%;1500;42,43
12162387;03.05.2019;139,33;7,341;66;899;5;6;2;9,09%;33%;3000;23,22
12162387;04.05.2019;98,8;8,333;32;384;4;4;1;12,50%;25%;1500;24,7
12162387;05.05.2019;69,87;12,103;42;347;4;5;1;11,90%;20%;1500;13,97
12162387;06.05.2019;123,75;10,352;44;425;4;3;1;6,82%;33%;1500;41,25
12162387;07.05.2019;0,5;9,523;2;21;0;0;1;0,00%;0%;1500;0
12162387;08.05.2019;0;3,703;1;27;0;0;0;0,00%;0%;0;0
12162387;09.05.2019;0;4,761;1;21;0;0;0;0,00%;0%;0;0
12162387;10.05.2019;0;0;0;7;0;0;0;0,00%;0%;0;0
12162387;11.05.2019;21,75;18,181;2;11;0;0;0;0,00%;0%;0;0
12227526;11.05.2019;195,2;3,81;75;1968;7;5;1;6,67%;20%;1500;39,04
12227526;12.05.2019;70,6;7,268;66;908;8;4;1;6,06%;25%;1500;17,65
12227526;13.05.2019;68,7;4,409;25;567;2;3;0;12,00%;0%;0;22,9
12227526;14.05.2019;35,9;3,629;9;248;0;3;1;33,33%;33%;1500;11,97
12227526;15.05.2019;88;5,352;19;355;1;2;0;10,53%;0%;0;44
12227526;16.05.2019;0,4;0;0;59;0;2;0;0,00%;0%;0;0,2
12227526;17.05.2019;105,6;4,878;16;328;2;1;0;6,25%;0%;0;105,6
12227526;18.05.2019;25,7;7,407;12;162;0;4;1;33,33%;25%;1500;6,43
12227526;19.05.2019;110,3;5,366;30;559;2;5;1;16,67%;20%;1500;22,06
12227526;20.05.2019;70,8;6,097;15;246;1;6;1;40,00%;17%;1500;11,8
12227526;21.05.2019;61,4;5,555;8;144;0;2;0;25,00%;0%;0;30,7
12227526;22.05.2019;0;4,081;2;49;0;2;0;100,00%;0%;0;0
12227526;23.05.2019;50,4;4,545;7;154;0;2;0;28,57%;0%;0;25,2
12227526;24.05.2019;26,4;7,619;8;105;0;5;1;62,50%;20%;1500;5,28
12227526;25.05.2019;22,8;3,773;2;53;0;1;0;50,00%;0%;0;22,8
12227526;13.06.2019;24,3;4,938;4;81;0;0;1;0,00%;0%;1500;0
12346405;25.05.2019;100;6,215;34;547;4;4;1;11,76%;25%;1500;25
12346405;26.05.2019;117,9;4,008;38;948;4;0;0;0,00%;0%;0;0
12346405;27.05.2019;226,85;5,495;82;1492;7;6;2;7,32%;33%;3000;37,81
12346405;28.05.2019;160,05;3,679;39;1060;3;4;1;10,26%;25%;1500;40,01
12346405;29.05.2019;149,25;3,935;39;991;4;3;1;7,69%;33%;1500;49,75
12346405;30.05.2019;209;5,307;57;1074;6;3;1;5,26%;33%;1500;69,67
12346405;31.05.2019;93,75;4,699;18;383;1;7;2;38,89%;29%;3000;13,39
12346405;01.06.2019;24,5;4,545;6;132;2;6;1;100,00%;17%;1500;4,08
12346405;02.06.2019;14,8;4,878;2;41;0;0;0;0,00%;0%;0;0
12346405;03.06.2019;40,5;6,06;10;165;1;6;1;60,00%;17%;1500;6,75
12346405;13.06.2019;175,8;3,518;33;938;3;3;0;9,09%;0%;0;58,6
12346405;14.06.2019;64,7;3,343;11;329;1;2;0;18,18%;0%;0;32,35
12346405;15.06.2019;14,1;1,492;2;134;0;0;1;0,00%;0%;1500;0
12512662;16.06.2019;435,38;0,489;16;3269;2;3;1;18,75%;33%;1500;145,13
12544702;19.06.2019;7,56;3,726;6;161;0;5;1;83,33%;20%;1500;1,51
12544702;20.06.2019;22,79;2,693;8;297;1;4;1;50,00%;25%;1500;5,7
12544702;21.06.2019;42,21;6,313;25;396;0;4;1;16,00%;25%;1500;10,55
12544702;22.06.2019;42,22;2,484;4;161;0;4;1;100,00%;25%;1500;10,56
12544702;23.06.2019;27,54;4,273;5;117;0;1;0;20,00%;0%;0;27,54
12544702;24.06.2019;4,03;7,272;4;55;0;0;1;0,00%;0%;1500;0
12544702;25.06.2019;22,49;7,058;6;85;0;2;0;33,33%;0%;0;11,25
12544702;26.06.2019;16,89;12;3;25;0;0;1;0,00%;0%;1500;0
12544702;27.06.2019;11,94;7,142;3;42;1;0;2;0,00%;0%;3000;0
12544702;28.06.2019;10,49;0;0;11;0;1;0;0,00%;0%;0;10,49
12544842;19.06.2019;1,45;1,069;2;187;0;1;0;50,00%;0%;0;1,45
12544842;20.06.2019;41,43;1,707;14;820;3;1;0;7,14%;0%;0;41,43
12544842;21.06.2019;55,07;1,056;11;1041;1;7;2;63,64%;29%;3000;7,87
12544842;22.06.2019;41,87;1,649;11;667;0;4;1;36,36%;25%;1500;10,47
12544842;23.06.2019;217,05;1,233;26;2107;1;0;0;0,00%;0%;0;0
12544842;24.06.2019;97,38;0,44;3;681;2;0;2;0,00%;0%;3000;0
12544842;26.06.2019;16,63;2,643;6;227;1;6;1;100,00%;17%;1500;2,77
12544842;27.06.2019;168,26;1,395;12;860;0;1;0;8,33%;0%;0;168,26
12544842;28.06.2019;39,65;2,197;6;273;0;5;1;83,33%;20%;1500;7,93
12544965;19.06.2019;10,8;3,571;14;392;0;6;2;42,86%;33%;3000;1,8
12544965;20.06.2019;81,6;2,729;28;1026;1;6;1;21,43%;17%;1500;13,6
12544965;21.06.2019;111,27;3,163;33;1043;2;7;2;21,21%;29%;3000;15,9
12544965;22.06.2019;291,41;4,64;78;1681;5;3;0;3,85%;0%;0;97,14
12544965;23.06.2019;77,95;3,692;12;325;0;3;1;25,00%;33%;1500;25,98
12544965;24.06.2019;238,53;5,123;56;1093;4;0;0;0,00%;0%;0;0
12544965;25.06.2019;91,02;7,692;23;299;3;4;1;17,39%;25%;1500;22,76
12544965;27.06.2019;27,5;7,5;18;240;2;2;0;11,11%;0%;0;13,75
12544965;28.06.2019;150,3;5,978;22;368;2;5;1;22,73%;20%;1500;30,06
12580882;26.06.2019;81,01;0,019;5;26040;1;1;0;20,00%;0%;0;81,01
12580882;27.06.2019;39,36;0,038;4;10479;1;3;0;75,00%;0%;0;13,12
12580882;28.06.2019;8,98;0,022;1;4434;0;0;0;0,00%;0%;0;0
12603768;27.06.2019;101,72;0,632;6;948;0;4;1;66,67%;25%;1500;25,43
12603768;28.06.2019;0;0;0;1;0;0;0;0,00%;0%;0;0
12611896;28.06.2019;50,39;1,499;10;667;0;4;1;40,00%;25%;1500;12,6
12611896;29.06.2019;215,61;2,332;33;1415;0;4;1;12,12%;25%;1500;53,9
12611896;30.06.2019;48,98;1,158;3;259;0;1;0;33,33%;0%;0;48,98
12611932;28.06.2019;47,79;1,364;7;513;0;4;1;57,14%;25%;1500;11,95
12611932;29.06.2019;75,81;3,271;14;428;3;3;1;21,43%;33%;1500;25,27
12611932;30.06.2019;17,49;3,37;3;89;0;3;0;100,00%;0%;0;5,83
12611986;29.06.2019;17,49;0,628;1;159;0;0;0;0,00%;0%;0;0
12615477;29.06.2019;111,82;1,1;8;727;0;0;0;0,00%;0%;0;0
12615477;30.06.2019;3,63;0;0;0;0;5;1;0,00%;20%;1500;0,73
12658632;06.07.2019;956,51;1,909;71;3718;5;0;0;0,00%;0%;0;0
12658632;07.07.2019;485,37;1,659;32;1928;3;4;1;12,50%;25%;1500;121,34
12658632;08.07.2019;696,45;1,403;37;2637;2;1;0;2,70%;0%;0;696,45
12658632;09.07.2019;292,67;0,884;10;1130;0;4;1;40,00%;25%;1500;73,17
;;;;;;;;;;;;